iter	Passed	Remaining
0	5	5008
1	9	4625
2	12	4241
3	16	3988
4	19	3852
5	22	3744
6	25	3558
7	27	3402
8	29	3274
9	31	3161
10	34	3145
11	37	3067
12	39	2975
13	41	2889
14	43	2828
15	45	2769
16	47	2722
17	50	2738
18	52	2700
19	54	2660
20	56	2621
21	58	2587
22	60	2557
23	62	2540
24	65	2548
25	67	2522
26	69	2497
27	71	2475
28	73	2451
29	75	2434
30	77	2426
31	80	2421
32	81	2400
33	83	2382
34	85	2367
35	87	2352
36	90	2343
37	92	2329
38	94	2316
39	95	2302
40	97	2287
41	99	2275
42	101	2263
43	103	2249
44	105	2244
45	108	2246
46	110	2241
47	112	2232
48	114	2220
49	116	2211
50	118	2201
51	120	2189
52	122	2191
53	124	2186
54	126	2177
55	128	2169
56	130	2160
57	132	2152
58	134	2145
59	136	2141
60	138	2139
61	140	2131
62	142	2124
63	144	2116
64	146	2111
65	148	2104
66	150	2101
67	153	2107
68	155	2101
69	157	2093
70	159	2087
71	161	2079
72	163	2074
73	165	2069
74	168	2074
75	170	2067
76	172	2061
77	173	2055
78	175	2048
79	177	2043
80	179	2034
81	181	2033
82	183	2026
83	185	2021
84	187	2015
85	189	2008
86	190	2002
87	193	2000
88	195	1999
89	198	2002
90	200	1998
91	201	1992
92	203	1988
93	205	1983
94	207	1978
95	209	1971
96	212	1976
97	214	1972
98	216	1969
99	218	1963
100	219	1957
101	221	1952
102	223	1948
103	226	1950
104	228	1948
105	230	1944
106	232	1939
107	234	1935
108	236	1931
109	238	1925
110	240	1922
111	242	1924
112	244	1920
113	246	1916
114	248	1912
115	250	1908
116	252	1904
117	254	1901
118	257	1904
119	259	1900
120	261	1896
121	263	1892
122	264	1889
123	266	1884
124	268	1881
125	271	1882
126	273	1878
127	275	1874
128	276	1869
129	278	1866
130	280	1863
131	283	1862
132	286	1867
133	289	1870
134	291	1866
135	293	1863
136	295	1860
137	297	1856
138	299	1856
139	302	1858
140	304	1857
141	306	1854
142	308	1850
143	310	1846
144	312	1843
145	314	1841
146	317	1842
147	319	1841
148	321	1837
149	323	1833
150	325	1830
151	327	1826
152	329	1825
153	332	1827
154	334	1825
155	336	1822
156	337	1814
157	339	1810
158	341	1806
159	343	1804
160	346	1805
161	348	1803
162	350	1801
163	352	1798
164	354	1794
165	356	1792
166	358	1790
167	361	1788
168	363	1786
169	365	1783
170	367	1779
171	369	1776
172	370	1772
173	372	1770
174	376	1772
175	378	1772
176	380	1768
177	382	1765
178	384	1762
179	386	1758
180	388	1756
181	391	1759
182	393	1758
183	395	1754
184	397	1751
185	399	1748
186	401	1744
187	403	1742
188	406	1743
189	408	1742
190	410	1739
191	412	1736
192	414	1733
193	416	1730
194	418	1728
195	421	1728
196	423	1726
197	425	1722
198	427	1718
199	429	1716
200	430	1713
201	433	1710
202	435	1710
203	438	1709
204	439	1705
205	441	1702
206	443	1699
207	445	1696
208	447	1694
209	450	1694
210	452	1692
211	454	1689
212	456	1686
213	458	1683
214	460	1680
215	462	1678
216	464	1675
217	466	1673
218	468	1670
219	470	1668
220	472	1665
221	474	1662
222	476	1660
223	478	1657
224	481	1657
225	483	1654
226	485	1652
227	487	1649
228	488	1645
229	490	1643
230	493	1642
231	495	1641
232	498	1639
233	499	1636
234	501	1633
235	503	1629
236	505	1627
237	507	1625
238	510	1624
239	512	1623
240	514	1621
241	516	1618
242	518	1615
243	520	1613
244	522	1610
245	525	1610
246	527	1609
247	529	1606
248	531	1604
249	533	1601
250	535	1599
251	538	1598
252	540	1596
253	542	1594
254	544	1591
255	546	1589
256	548	1587
257	550	1584
258	552	1581
259	555	1580
260	557	1578
261	559	1576
262	561	1573
263	563	1570
264	565	1567
265	567	1566
266	569	1564
267	571	1562
268	573	1559
269	575	1557
270	577	1554
271	580	1552
272	582	1549
273	584	1548
274	586	1547
275	588	1544
276	590	1541
277	592	1539
278	594	1536
279	596	1534
280	599	1533
281	601	1531
282	603	1528
283	605	1525
284	607	1523
285	609	1520
286	611	1518
287	613	1516
288	615	1515
289	617	1512
290	619	1509
291	621	1506
292	623	1503
293	625	1501
294	627	1499
295	629	1497
296	632	1496
297	633	1493
298	635	1490
299	637	1488
300	639	1485
301	641	1483
302	643	1480
303	645	1477
304	647	1475
305	649	1472
306	651	1470
307	653	1467
308	655	1465
309	657	1462
310	658	1459
311	660	1457
312	662	1454
313	664	1452
314	666	1449
315	668	1447
316	670	1444
317	673	1443
318	675	1442
319	677	1440
320	679	1437
321	680	1433
322	682	1430
323	684	1428
324	687	1427
325	689	1425
326	691	1423
327	693	1420
328	695	1418
329	697	1415
330	699	1412
331	701	1411
332	703	1408
333	705	1407
334	707	1404
335	709	1402
336	711	1399
337	713	1396
338	715	1394
339	717	1392
340	719	1390
341	721	1388
342	723	1385
343	725	1383
344	727	1380
345	729	1378
346	731	1376
347	733	1373
348	735	1371
349	737	1368
350	739	1366
351	740	1363
352	742	1361
353	744	1358
354	746	1356
355	748	1353
356	750	1351
357	751	1348
358	753	1345
359	755	1343
360	757	1340
361	758	1337
362	760	1335
363	763	1333
364	765	1330
365	767	1329
366	769	1326
367	771	1324
368	773	1322
369	775	1320
370	777	1318
371	780	1317
372	782	1315
373	784	1312
374	786	1310
375	788	1307
376	790	1305
377	792	1303
378	794	1301
379	796	1299
380	798	1297
381	800	1294
382	802	1292
383	804	1290
384	806	1288
385	808	1286
386	811	1284
387	813	1282
388	815	1280
389	816	1277
390	818	1275
391	821	1273
392	823	1271
393	825	1270
394	827	1267
395	828	1264
396	830	1262
397	832	1259
398	834	1257
399	836	1255
400	838	1252
401	840	1250
402	842	1247
403	844	1245
404	845	1242
405	847	1240
406	850	1239
407	853	1237
408	855	1236
409	857	1234
410	859	1231
411	861	1229
412	863	1227
413	865	1225
414	867	1223
415	870	1222
416	872	1219
417	874	1217
418	876	1215
419	878	1212
420	880	1210
421	882	1208
422	884	1206
423	887	1205
424	889	1203
425	891	1200
426	893	1198
427	895	1196
428	897	1194
429	899	1192
430	902	1190
431	904	1188
432	906	1186
433	908	1184
434	910	1182
435	912	1180
436	914	1178
437	916	1176
438	918	1173
439	920	1171
440	922	1169
441	924	1167
442	926	1164
443	928	1162
444	930	1160
445	932	1158
446	934	1155
447	936	1153
448	938	1151
449	940	1149
450	943	1148
451	946	1147
452	948	1144
453	950	1142
454	952	1140
455	954	1138
456	956	1136
457	958	1134
458	960	1132
459	962	1129
460	964	1127
461	966	1125
462	968	1123
463	970	1121
464	972	1119
465	974	1117
466	977	1115
467	979	1112
468	981	1110
469	983	1108
470	985	1106
471	987	1104
472	989	1102
473	991	1100
474	993	1098
475	995	1096
476	997	1094
477	999	1092
478	1002	1090
479	1004	1088
480	1006	1086
481	1008	1084
482	1010	1081
483	1012	1079
484	1014	1077
485	1016	1075
486	1018	1072
487	1020	1070
488	1022	1068
489	1024	1066
490	1026	1063
491	1028	1061
492	1031	1060
493	1033	1058
494	1035	1056
495	1037	1054
