Producto;Cantidad;Categoría;Fecha/Hora;Valor del Descuento;Motivo del Descuento;Ventas NETAS;Tipo de Venta;Opción de Comer;Código Fiscal;Impuesto;Ventas TOTALES;Precio de Coste;Margen;Método de Pago;Nominal;A/C Ref;Notas;Identificación del Cliente;ProductId
V Hi-tecpoint 0.5 Negro;1.0000;Bolígrafos;06/07/2026 10:10:28;0.0000;;2.44000;Eat in;0;;0.51;2.95000;1.04000;1.40000;Tarjeta;;;;;2152893
V Hi-tecpoint 0.5 Negro;1.0000;Bolígrafos;06/07/2026 10:10:28;0.0000;;2.44000;Eat in;0;;0.51;2.95000;1.04000;1.40000;Tarjeta;;;;;2152893
Copia A4 B/N;1.0000;Copisteria;06/07/2026 10:02:41;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Efectivo;;;;;2160044
Panini Cromos Mundial 2026;5.0000;Otros;04/07/2026 14:00:23;0.0000;;6.20000;Eat in;0;;1.30;7.50000;5.03550;1.16450;Tarjeta;;;;;2336673
Copia A4 B/N;1.0000;Copisteria;04/07/2026 13:50:04;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Efectivo;;;;;2160044
Doble Cara A4 Color;7.0000;Copisteria;04/07/2026 13:41:13;0.0000;;4.63000;Eat in;0;;0.97;5.60000;0.35000;4.28000;Efectivo;;;;;2160051
Doble Cara A4 B/N;11.0000;Copisteria;04/07/2026 13:37:31;0.0000;;2.27000;Eat in;0;;0.48;2.75000;0.55000;1.72000;Tarjeta;;;;;2160046
Doble Cara A4 B/N;10.0000;Copisteria;04/07/2026 13:37:31;0.0000;;2.07000;Eat in;0;;0.43;2.50000;0.50000;1.57000;Tarjeta;;;;;2160046
Doble Cara A4 B/N;5.0000;Copisteria;04/07/2026 13:37:31;0.0000;;1.03000;Eat in;0;;0.22;1.25000;0.25000;0.78000;Tarjeta;;;;;2160046
Burbujas Tuban 1;1.0000;Juegos y regalos;04/07/2026 13:04:17;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.33000;0.50000;Efectivo;;;;;2152063
