Producto,Fecha,Unidades_Vendidas
Copia A4 B/N,2026-01-19,133.0
Copia A4 B/N,2026-01-20,94.0
Copia A4 B/N,2026-01-21,92.0
Copia A4 B/N,2026-01-22,142.0
Copia A4 B/N,2026-01-23,51.0
Copia A4 B/N,2026-01-24,9.0
Copia A4 B/N,2026-01-25,0.0
Copia A4 B/N,2026-01-26,49.0
Copia A4 B/N,2026-01-27,39.0
Copia A4 B/N,2026-01-28,0.0
Copia A4 B/N,2026-01-29,87.0
Copia A4 B/N,2026-01-30,50.0
Copia A4 B/N,2026-01-31,41.0
Copia A4 B/N,2026-02-01,0.0
Copia A4 B/N,2026-02-02,129.0
Copia A4 B/N,2026-02-03,130.0
Copia A4 B/N,2026-02-04,61.0
Copia A4 B/N,2026-02-05,42.0
Copia A4 B/N,2026-02-06,139.0
Copia A4 B/N,2026-02-07,40.0
Copia A4 B/N,2026-02-08,0.0
Copia A4 B/N,2026-02-09,280.0
Copia A4 B/N,2026-02-10,78.0
Copia A4 B/N,2026-02-11,130.0
Copia A4 B/N,2026-02-12,181.0
Copia A4 B/N,2026-02-13,88.0
Copia A4 B/N,2026-02-14,26.0
Copia A4 B/N,2026-02-15,0.0
Copia A4 B/N,2026-02-16,124.0
Copia A4 B/N,2026-02-17,56.0
Copia A4 B/N,2026-02-18,129.0
Copia A4 B/N,2026-02-19,59.0
Copia A4 B/N,2026-02-20,45.0
Copia A4 B/N,2026-02-21,41.0
Copia A4 B/N,2026-02-22,0.0
Copia A4 B/N,2026-02-23,158.0
Copia A4 B/N,2026-02-24,162.0
Copia A4 B/N,2026-02-25,193.0
Copia A4 B/N,2026-02-26,84.0
Copia A4 B/N,2026-02-27,52.0
Copia A4 B/N,2026-02-28,38.0
Copia A4 B/N,2026-03-01,0.0
Copia A4 B/N,2026-03-02,98.0
Copia A4 B/N,2026-03-03,90.0
Copia A4 B/N,2026-03-04,28.0
Copia A4 B/N,2026-03-05,698.0
Copia A4 B/N,2026-03-06,98.0
Copia A4 B/N,2026-03-07,27.0
Copia A4 B/N,2026-03-08,0.0
Copia A4 B/N,2026-03-09,60.0
Copia A4 B/N,2026-03-10,99.0
Copia A4 B/N,2026-03-11,101.0
Copia A4 B/N,2026-03-12,73.0
Copia A4 B/N,2026-03-13,124.0
Copia A4 B/N,2026-03-14,12.0
Copia A4 B/N,2026-03-15,0.0
Copia A4 B/N,2026-03-16,0.0
Copia A4 B/N,2026-03-17,66.0
