iter	Passed	Remaining
0	3	3310
1	6	3191
2	9	3153
3	12	3076
4	15	3018
5	18	2988
6	20	2975
7	23	2971
8	26	2899
9	28	2825
10	30	2762
11	32	2710
12	35	2661
13	37	2646
14	39	2608
15	41	2558
16	43	2514
17	45	2476
18	47	2437
19	49	2418
20	52	2434
21	54	2429
22	56	2401
23	58	2377
24	60	2354
25	62	2336
26	64	2322
27	67	2342
28	69	2333
29	71	2317
30	73	2297
31	75	2281
32	77	2266
33	79	2254
34	81	2251
35	83	2245
36	85	2229
37	87	2213
38	89	2201
39	91	2185
40	93	2187
41	96	2190
42	98	2192
43	100	2186
44	102	2175
45	104	2165
46	106	2154
47	108	2145
48	110	2141
49	113	2148
50	114	2138
51	116	2127
52	118	2117
53	120	2107
54	122	2100
55	124	2094
56	126	2098
57	129	2095
58	130	2086
59	132	2076
60	134	2067
61	136	2059
62	137	2052
63	140	2051
64	143	2059
65	145	2053
66	146	2046
67	148	2039
68	150	2034
69	152	2026
70	154	2024
71	157	2030
72	159	2023
73	161	2017
74	163	2011
75	164	2005
76	166	1998
77	168	1993
78	170	1990
79	172	1988
80	174	1980
81	176	1974
82	178	1968
83	180	1963
84	182	1960
85	184	1960
86	186	1961
87	189	1964
88	191	1959
89	193	1954
90	195	1949
91	197	1945
92	199	1943
93	201	1944
94	203	1942
95	205	1937
96	207	1932
97	209	1928
98	211	1923
99	213	1919
100	216	1922
101	218	1921
102	220	1916
103	221	1911
104	223	1907
105	225	1901
106	227	1899
107	229	1896
108	232	1897
109	233	1892
110	235	1889
111	237	1885
112	239	1880
113	241	1876
114	243	1872
115	246	1875
116	247	1871
117	249	1866
118	251	1863
119	253	1859
120	255	1856
121	257	1852
122	259	1851
123	262	1852
124	264	1848
125	265	1844
126	267	1839
127	269	1836
128	271	1833
129	273	1828
130	274	1823
131	276	1821
132	278	1817
133	280	1813
134	282	1809
135	284	1806
136	286	1803
137	288	1801
138	290	1801
139	293	1800
140	294	1795
141	296	1792
142	298	1789
143	300	1786
144	302	1783
145	304	1782
146	306	1780
147	308	1777
148	310	1774
149	312	1770
150	314	1767
151	316	1763
152	318	1761
153	320	1761
154	322	1758
155	324	1755
156	326	1752
157	328	1748
158	330	1746
159	331	1742
160	334	1742
161	336	1742
162	338	1738
163	340	1735
164	342	1732
165	344	1729
166	346	1727
167	348	1726
168	351	1726
169	352	1723
170	354	1719
171	356	1716
172	358	1713
173	360	1710
174	362	1706
175	363	1703
176	365	1701
177	367	1697
178	369	1693
179	371	1690
180	373	1688
181	375	1686
182	377	1684
183	379	1682
184	381	1682
185	383	1679
186	385	1676
187	387	1673
188	389	1670
189	391	1668
190	393	1666
191	395	1666
192	397	1663
193	399	1661
194	401	1658
195	403	1655
196	405	1653
197	407	1651
198	410	1652
199	412	1649
200	414	1647
201	416	1643
202	418	1641
203	420	1639
204	422	1636
205	424	1635
206	426	1634
207	428	1632
208	430	1629
209	432	1626
210	434	1623
211	436	1620
212	438	1619
213	440	1618
214	442	1616
215	444	1614
216	446	1611
217	448	1608
218	450	1606
219	452	1603
220	453	1600
221	455	1597
222	457	1595
223	459	1591
224	461	1589
225	463	1587
226	465	1585
227	467	1583
228	469	1581
229	472	1580
230	473	1577
231	475	1575
232	477	1573
233	479	1570
234	481	1568
235	484	1567
236	486	1565
237	488	1563
238	490	1560
239	492	1558
240	494	1555
241	495	1553
242	498	1552
243	500	1551
244	503	1550
245	505	1547
246	506	1545
247	508	1543
248	511	1541
249	513	1539
250	515	1538
251	517	1535
252	519	1533
253	521	1530
254	522	1527
255	525	1525
256	527	1524
257	529	1522
258	531	1521
259	533	1518
260	535	1516
261	537	1513
262	539	1511
263	541	1508
264	542	1505
265	544	1502
266	546	1500
267	548	1497
268	550	1495
269	552	1493
270	554	1491
271	556	1489
272	558	1488
273	561	1486
274	563	1484
275	564	1481
276	566	1479
277	568	1476
278	570	1474
279	572	1472
280	574	1471
281	576	1468
282	578	1466
